ticker,asof_date,float_shares,source,proxy_flag,notes
GMAB,2019-06-30,629000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy; pre-US ADS listing."
GMAB,2019-09-30,649000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy; US ADS IPO quarter."
GMAB,2019-12-31,636000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2020-03-31,658000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2020-06-30,658000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2020-09-30,659000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2020-12-31,659000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2021-03-31,660000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2021-06-30,660000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2021-09-30,661000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2021-12-31,660000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2022-03-31,660000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2022-06-30,660000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2022-09-30,659000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2022-12-31,660000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2023-03-31,659000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2023-06-30,652000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2023-09-30,659000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2023-12-31,659000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2024-03-31,653000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2024-06-30,649000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2024-09-30,637000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2024-12-31,646000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2025-03-31,639000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2025-06-30,620000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2025-09-30,621000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2025-12-31,627000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2026-03-31,639000000,manual_shares_outstanding_proxy,1,"User-provided GMAB shares outstanding proxy."
GMAB,2026-06-05,642500000,manual_shares_outstanding_proxy,1,"User-provided GMAB estimated current shares outstanding proxy for EOD 2026-06-05."
OCS,2023-03-03,32700000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy; Nasdaq SPAC inception."
OCS,2023-06-30,34100000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2023-09-30,35500000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2023-12-31,36330000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2024-03-31,38200000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2024-06-30,40100000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2024-09-30,41500000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2024-12-31,42760000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2025-03-31,46800000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2025-06-30,52330000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy; follow-on quarter."
OCS,2025-09-30,54100000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2025-12-31,55980000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2026-03-31,55980000,manual_shares_outstanding_proxy,1,"User-provided OCS shares outstanding proxy."
OCS,2026-06-05,57980000,manual_shares_outstanding_proxy,1,"User-provided OCS current shares outstanding proxy for EOD 2026-06-05."
ANL,2023-09-29,31900000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy; US IPO base."
ANL,2023-12-31,31930000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2024-03-31,32100000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2024-06-30,32300000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2024-09-30,32500000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2024-12-31,32660000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2025-03-31,34300000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2025-06-30,36200000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2025-09-30,38500000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2025-12-31,40000000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy."
ANL,2026-03-31,52100000,manual_shares_outstanding_proxy,1,"User-provided ANL shares outstanding proxy; private placement."
ANL,2026-06-05,64400000,manual_shares_outstanding_proxy,1,"User-provided ANL current shares outstanding proxy for EOD 2026-06-05."
