ticker,search_term,query_field,source,confidence,link_from_search,notes,enabled
ABSI,ABS-201,query.intr,manual_program,0.85,true,Program/intervention search term for Absci clinical trial discovery
ABSI,Absci,query.spons,manual_sponsor_search,0.90,true,Company short-name sponsor search
AGMB,AGMB-129,query.intr,manual_program,0.85,true,Agomab program/intervention search
AGMB,Ontunisertib,query.intr,manual_program,0.85,true,Agomab program/intervention search
AGMB,Agomab Therapeutics,query.spons,manual_sponsor_search,0.90,true,Sponsor operating-name search
FBIO,Avenue Therapeutics,query.spons,manual_parent_subsidiary,0.85,true,Fortress Biotech subsidiary sponsor search
FBIO,Checkpoint Therapeutics,query.spons,manual_parent_subsidiary,0.85,true,Fortress Biotech subsidiary sponsor search
FBIO,Mustang Bio,query.spons,manual_parent_subsidiary,0.85,true,Fortress Biotech subsidiary sponsor search
FBIO,Journey Medical,query.spons,manual_parent_subsidiary,0.85,true,Fortress Biotech subsidiary sponsor search
FBIO,NG-350A,query.intr,manual_program,0.75,true,Program-level search supplied for Fortress ecosystem review
GPCR,GSBR-1290,query.intr,manual_program,0.90,true,Structure Therapeutics program/intervention search
GPCR,Structure Therapeutics,query.spons,manual_sponsor_search,0.90,true,Sponsor operating-name search
BBIO,BridgeBio Pharma,query.spons,manual_sponsor_search,0.95,true,User-requested activation sponsor search
BBIO,BridgeBio Pharmaceuticals,query.spons,manual_sponsor_search,0.95,true,BridgeBio CTGov sponsor search
BBIO,Acoramidis,query.intr,manual_program,0.95,true,BridgeBio acoramidis program/intervention search
BBIO,Infigratinib,query.intr,manual_program,0.95,true,BridgeBio infigratinib program/intervention search
BBIO,BBP-418,query.intr,manual_program,0.95,true,BridgeBio BBP-418 program/intervention search
BBIO,Eidos Therapeutics,query.spons,manual_parent_subsidiary,0.95,true,BridgeBio subsidiary sponsor search
BBIO,QED Therapeutics,query.spons,manual_parent_subsidiary,0.95,true,BridgeBio subsidiary sponsor search
BBIO,ML Bio Solutions,query.spons,manual_parent_subsidiary,0.95,true,BridgeBio subsidiary sponsor search
ARWR,Arrowhead Pharmaceuticals,query.spons,manual_sponsor_search,0.95,true,User-requested activation sponsor search
ARWR,Arrowhead Pharmaceuticals Inc,query.spons,manual_sponsor_search,0.95,true,Arrowhead CTGov sponsor search
