"ticker","product_code","fda_manufacturer_id","product_family","mapping_confidence","mapping_method","source_reference","valid_from","valid_to","reviewed_at","active","notes"
"ABT","QBJ","","diabetes_cgm","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Continuous glucose monitoring system product code"
"ABT","QLG","","diabetes_cgm","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Continuous glucose monitoring system product code"
"ABT","PZE","","diabetes_cgm","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Continuous glucose monitoring system product code"
"ABT","NBW","","diabetes_cgm","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Blood glucose monitoring product code"
"ABT","SAF","","diabetes_cgm","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Glucose biosensor system product code"
"ABT","DSQ","","lvad_circulatory_support","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Ventricular assist system product code"
"ABT","QNR","","lvad_circulatory_support","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","ECMO blood-pump console in Thoratec circulatory-support entity"
"ABT","DWA","","lvad_circulatory_support","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","CentriMag circulatory-support console"
"ABT","KFM","","lvad_circulatory_support","97","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","CentriMag circulatory-support motor"
"ABT","MOM","","lvad_circulatory_support","95","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Power accessory reported by Abbott Medical circulatory-support operations"
"ABT","NGV","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Left-atrial appendage occlusion system"
"ABT","NKM","","structural_heart","99","manual_product_code_review","openfda_product_code_and_abt_legal_entity_review_2026-07-24","2026-07-24","","2026-07-24","true","Transcatheter mitral repair system"
